UserID,FollowersCount,PostsCount,LikesPerPost,MessagesSent,PhotosPerDay,PostTime,AM_PM,Topic,TZ
882891452,7578,97,839,1716,0.49,6,PM,sport,UTC-8
967204364,9121,316,879,845,1.2,4,AM,food,UTC+8
832140324,9519,391,998,985,2.87,2,AM,food,UTC+8
246568689,7072,403,485,1528,3.57,11,AM,technologies,UTC+3
265272367,6292,60,948,492,3.85,1,AM,political,UTC+8
355013228,1022,140,414,635,2.32,10,PM,music,UTC+8
238238561,1377,9,417,1186,0.97,5,PM,food,UTC+3
887797678,9525,249,443,353,0.38,8,PM,political,UTC+8
414612062,8763,152,210,606,2.35,8,AM,political,UTC+3
397949897,5902,194,349,241,3.95,4,AM,music,UTC+8
947063122,3734,434,891,1307,0.72,11,PM,sport,UTC+8
146273232,7237,124,855,1020,0.09,4,PM,music,UTC+8
271798862,7920,375,495,1562,1.79,7,PM,traveling,UTC-8
321211925,5462,425,334,952,3.79,8,PM,political,UTC+3
585490900,8586,448,341,9,2.42,3,AM,sport,UTC+8
407325222,989,315,74,1485,2.83,2,PM,traveling,UTC-5
524248532,9431,214,763,342,0.76,1,AM,traveling,UTC+8
209093860,9245,290,759,27,2.67,2,PM,food,UTC+3
402622722,2573,474,261,13,4.93,1,AM,traveling,UTC-5
233322504,7332,109,158,276,3.92,8,AM,technologies,UTC+8
928632272,8728,457,923,1012,1.63,8,PM,technologies,UTC+1
946146268,6576,122,363,984,2.04,5,PM,technologies,UTC+5
503214459,188,76,149,1597,0.32,5,PM,technologies,UTC+8
624129090,4673,216,521,903,0.58,6,AM,political,UTC+8
788909094,1985,108,322,1113,2.99,3,PM,traveling,UTC-5
85715323,1412,119,150,1094,4.34,4,AM,music,UTC-5
680126585,1770,487,935,1807,1.59,10,AM,traveling,UTC+8
54013729,8748,193,927,674,3.32,5,AM,traveling,UTC+8
162021062,4768,11,343,582,1.73,6,AM,traveling,UTC+5
468467264,6045,35,22,1125,2.32,1,AM,sport,UTC+8
436718557,7840,184,953,1343,0.26,10,AM,sport,UTC+0
625052846,2000,69,865,1318,2.85,5,PM,technologies,UTC+8
761059943,8191,252,682,1945,3.1,2,PM,technologies,UTC+3
368731792,3516,66,651,349,1.8,5,AM,political,UTC-5
755083946,9700,239,230,919,3.51,8,AM,technologies,UTC-8
148084605,2140,499,533,52,1.86,6,AM,technologies,UTC+8
647857165,3960,25,913,911,1.98,10,PM,technologies,UTC+0
778782380,9061,319,350,1559,3.83,7,PM,traveling,UTC+3
423857946,2138,103,709,41,0.54,3,PM,music,UTC+8
178861268,4121,455,35,1962,1.88,2,PM,technologies,UTC-8
897400378,8388,300,927,1783,1.63,10,PM,technologies,UTC-5
856513928,7448,13,366,817,2.43,5,AM,sport,UTC-5
263652828,3511,283,402,1547,3.15,2,AM,technologies,UTC+8
130533299,8203,264,558,436,0.81,1,AM,political,UTC+1
453084584,4156,372,537,1457,1.93,7,AM,political,UTC+8
52955609,9295,145,872,204,3.19,1,AM,political,UTC+5
820313124,8319,484,51,1394,2.31,6,AM,political,UTC+8
399957505,9903,51,303,928,0.53,1,PM,political,UTC-5
56160073,7371,214,208,136,1.08,6,PM,political,UTC+8
573308867,2190,124,391,1834,4.67,10,PM,music,UTC+3
464561713,2751,171,501,891,1.56,1,AM,food,UTC+8
920683334,928,298,384,1430,4.53,1,PM,food,UTC+1
669333814,8961,216,55,1602,2.98,6,AM,technologies,UTC+5
479356852,5467,403,263,1600,2.96,10,PM,traveling,UTC-8
919899636,3456,132,194,360,4.52,1,AM,food,UTC+1
19927160,3240,224,20,1936,4.31,5,AM,traveling,UTC+3
626253912,4977,113,56,1495,0.97,4,PM,food,UTC+3
29338561,6809,154,96,977,4.82,6,PM,technologies,UTC+0
555417138,793,99,395,1928,0.18,9,PM,music,UTC+0
514729324,7188,216,673,658,1.86,10,PM,political,UTC+5
784633836,8108,67,517,18,3.7,8,PM,music,UTC+8
115664341,3824,212,426,825,3.58,10,PM,traveling,UTC+5
145041658,3547,327,637,1689,2.61,4,PM,food,UTC+5
900066530,6600,170,841,1716,1.63,4,PM,traveling,UTC-8
562757041,8406,447,116,1016,1.15,6,AM,music,UTC-5
73510954,5240,214,332,1676,2.84,2,PM,technologies,UTC+8
458321200,5620,296,481,1316,1.51,4,PM,technologies,UTC+8
427292934,2650,484,565,1272,2.66,4,PM,sport,UTC+5
68656542,2087,432,165,1939,3.29,1,PM,music,UTC+8
352528045,9676,142,658,1406,3.6,6,AM,food,UTC+8
199077535,8850,391,283,161,3.69,10,PM,sport,UTC+3
710816840,6230,192,845,68,0.8,8,AM,music,UTC+5
232171065,1431,467,386,1290,0.84,10,PM,sport,UTC+8
247904873,9667,139,103,1682,0.16,4,AM,political,UTC+8
77125240,7274,477,379,766,2.13,4,AM,traveling,UTC+8
258662516,2200,293,767,895,2.42,2,PM,music,UTC+8
955437082,8567,357,510,1175,0.72,9,PM,traveling,UTC+8
502592119,1672,447,945,1789,1.05,8,PM,political,UTC+0
797802554,2047,277,81,191,1.44,6,AM,traveling,UTC+3
171937499,7382,430,149,1447,0.76,6,AM,music,UTC+5
540990820,3782,132,665,852,3.59,11,AM,traveling,UTC+8
174264742,4647,359,264,779,0.75,8,PM,political,UTC+8
404827644,2352,52,291,1039,3.99,3,AM,technologies,UTC-5
952302912,6805,417,537,136,0.66,3,PM,music,UTC-5
290681017,2979,107,879,850,0.84,2,AM,traveling,UTC+8
804515863,237,214,984,123,4.32,2,PM,food,UTC+5
16238528,3154,213,353,907,0.77,4,AM,traveling,UTC+1
188466131,399,378,697,1475,0.94,3,PM,music,UTC+1
388786339,1912,383,568,179,4.17,11,PM,sport,UTC+3
869434100,5538,36,907,1564,1.56,5,AM,political,UTC-8
371518694,2705,85,59,495,0.36,8,AM,food,UTC+1
156076815,1713,467,446,1705,2.47,11,PM,traveling,UTC+1
860588772,3254,148,568,1367,2.46,11,AM,sport,UTC+8
51911628,1520,111,478,878,0.44,8,PM,technologies,UTC+8
95542886,7279,168,839,830,2.77,7,PM,music,UTC+1
66118261,2631,366,706,664,0.97,1,PM,political,UTC+1
693594707,8945,374,293,1149,1.09,3,AM,technologies,UTC+8
652445805,4435,353,465,674,3.35,8,AM,music,UTC+3
504114221,5045,255,199,1898,4.22,6,PM,sport,UTC+1
163025978,5948,63,216,1122,0.44,3,AM,music,UTC-5
807000542,9940,494,994,1496,2.98,2,PM,traveling,UTC+8
483384395,3684,396,121,1818,1.93,10,AM,music,UTC+8
440996950,2654,341,952,787,4.52,3,AM,food,UTC+8
957551196,9629,415,405,16,0.6,1,AM,food,UTC+8
705315914,3890,343,544,495,1.15,10,AM,traveling,UTC-8
775139837,664,107,812,1255,0.92,9,PM,traveling,UTC+8
743138782,9620,206,996,1388,0.24,10,PM,traveling,UTC+8
869647080,9491,282,246,1477,3.05,4,PM,sport,UTC+1
680392254,8989,390,441,1783,4.3,4,AM,food,UTC-5
111733747,2330,397,265,131,2.91,3,AM,political,UTC+5
885356727,8182,415,619,1862,2.75,10,AM,food,UTC+8
250250673,8491,280,127,1773,3.23,7,AM,technologies,UTC+8
221327035,8894,138,203,1323,3.8,4,PM,political,UTC+0
256930923,2442,98,240,734,1.81,6,PM,traveling,UTC+3
863546926,1420,121,318,1291,2.01,8,AM,political,UTC+8
409354600,2652,2,750,1687,4.26,11,PM,music,UTC+0
18551154,790,105,471,641,4.11,2,PM,traveling,UTC+8
184108764,1845,83,134,483,1.31,9,PM,sport,UTC-8
62650343,8956,457,772,1078,3.1,4,AM,traveling,UTC-5
989283578,5701,57,416,1512,0.68,6,PM,technologies,UTC-5
990053537,5416,131,719,372,3.8,1,AM,music,UTC+8
640362736,2014,321,607,1751,2.44,3,AM,political,UTC-5
847717053,6448,216,152,698,1.05,6,AM,food,UTC+5
263796263,6720,173,753,1708,0.46,3,PM,technologies,UTC-5
31643423,4886,429,636,41,2.82,8,PM,food,UTC+8
854971071,9893,3,451,1175,0.94,3,AM,technologies,UTC+5
890464785,6660,157,781,709,3.77,6,AM,food,UTC+8
734183207,2104,13,544,1785,0.89,7,PM,food,UTC-5
484405038,3897,6,439,1138,0.13,8,AM,traveling,UTC+8
638174093,4884,497,871,863,4.81,2,AM,music,UTC+8
460356585,9499,171,681,922,4.85,10,PM,food,UTC+8
562349842,9838,102,634,1290,0.91,4,PM,traveling,UTC+8
407963833,3659,154,709,559,3.48,9,PM,traveling,UTC+1
894667583,5722,435,596,1503,2.8,8,PM,technologies,UTC+8
437951792,7766,85,312,224,1.09,9,AM,food,UTC+8
110401581,8412,391,532,858,1.87,4,PM,political,UTC+5
656520771,352,455,500,924,3.0,4,PM,traveling,UTC+8
372656398,9400,458,512,456,2.9,8,PM,traveling,UTC+8
62407364,2352,418,980,297,0.62,11,PM,food,UTC+5
233393649,5652,385,296,602,2.11,11,PM,sport,UTC+5
70216050,1807,470,535,1673,1.66,11,PM,music,UTC+3
112548745,7310,393,965,541,1.14,7,AM,food,UTC+1
451775551,8368,142,957,707,3.9,10,PM,political,UTC+8
359428393,7844,13,878,96,0.1,10,PM,technologies,UTC+8
537342583,2006,266,39,744,4.47,1,PM,technologies,UTC-5
787527924,7783,410,397,792,0.2,10,PM,sport,UTC-8
743047855,7491,299,738,1019,2.84,3,PM,technologies,UTC+8
320580843,2366,22,33,940,0.82,4,PM,political,UTC+8
101984834,5626,65,683,1393,4.76,7,PM,food,UTC-8
401015622,7358,230,366,657,4.57,1,AM,food,UTC+8
438255663,6776,91,428,1723,3.05,5,PM,music,UTC+5
504982397,1537,437,725,1699,4.14,9,PM,political,UTC+8
411593316,8163,493,875,1233,0.9,11,PM,food,UTC+8
378836459,5908,17,6,371,1.09,8,PM,traveling,UTC-5
830808752,9729,447,795,1912,0.72,10,AM,sport,UTC+3
111858660,9473,266,751,423,1.34,3,PM,music,UTC+8
642064046,996,336,31,1724,2.01,5,AM,political,UTC-5
798238343,7943,231,880,445,2.57,2,AM,political,UTC+3
58589479,8958,206,98,1145,4.39,8,AM,food,UTC+8
184884667,4807,355,487,1500,2.86,11,PM,music,UTC+8
939614175,3777,321,878,1706,4.16,4,AM,food,UTC+8
874763828,3798,75,959,1957,1.43,5,PM,sport,UTC+8
299579230,8878,164,637,621,1.85,3,PM,technologies,UTC+3
812163406,2995,447,838,1988,4.28,7,PM,sport,UTC+3
589591058,6023,110,572,796,2.01,1,AM,food,UTC-8
112173914,5780,63,321,818,2.5,10,PM,traveling,UTC+8
790457652,2011,96,616,314,0.04,5,AM,political,UTC+8
172146828,307,417,280,1936,1.21,8,PM,political,UTC-8
444924929,9090,173,546,1745,3.23,3,AM,food,UTC+8
637793820,175,376,733,447,1.6,8,PM,music,UTC+8
247436064,850,242,945,1930,0.56,8,AM,music,UTC+1
773766150,4394,338,969,194,4.13,4,AM,sport,UTC+5
481194666,8382,48,853,387,1.76,9,AM,sport,UTC+1
744914319,6969,248,809,97,1.31,10,PM,food,UTC+8
425433949,220,14,12,949,3.48,7,AM,technologies,UTC-8
193528136,4860,400,336,256,0.6,4,AM,political,UTC+0
233798449,3150,479,585,1106,0.38,9,AM,food,UTC+8
365857088,1584,35,559,1202,1.78,8,PM,political,UTC-8
950172802,8106,66,197,923,4.85,2,PM,political,UTC+8
662766335,8190,298,972,1558,1.22,8,AM,music,UTC+8
20477449,460,212,749,1006,2.51,7,PM,traveling,UTC+0
307044175,1044,258,95,346,4.7,5,PM,food,UTC+8
966397984,8644,11,298,421,0.32,6,PM,political,UTC+8
532564277,7809,383,390,839,4.4,11,PM,technologies,UTC+3
388563149,2436,445,723,215,1.99,11,PM,music,UTC+8
828358893,141,16,105,598,2.84,7,PM,sport,UTC-5
357137174,390,223,357,706,3.87,2,PM,political,UTC+1
333135551,6251,50,611,1773,3.93,10,AM,food,UTC-8
994560133,5455,483,502,67,2.84,1,AM,technologies,UTC+8
997737995,3048,438,314,751,2.44,1,PM,traveling,UTC+8
610634414,9312,77,549,8,1.43,9,PM,technologies,UTC+5
968057759,8925,157,784,1435,2.05,6,PM,food,UTC+8
513997688,5446,424,446,166,4.8,4,AM,food,UTC-8
793604368,3898,255,223,823,2.86,4,AM,political,UTC+8
236704531,7811,335,314,1858,4.03,5,AM,food,UTC+3
812662583,6766,342,665,795,2.5,5,PM,political,UTC+3
911497124,489,49,135,1249,0.21,1,PM,traveling,UTC+1
722283345,5222,416,972,1806,4.75,2,AM,technologies,UTC-8
932406542,5469,96,715,823,2.33,4,PM,food,UTC+8
408319325,8910,239,64,875,1.95,7,PM,sport,UTC+3
702950055,7233,173,603,1198,1.78,4,AM,music,UTC+3
421687935,3577,167,881,1147,4.15,3,PM,technologies,UTC+8
956072513,5002,242,568,1296,0.88,3,AM,sport,UTC+8
380214099,9927,455,550,909,2.94,9,AM,technologies,UTC+8
499604245,4892,376,220,1998,0.44,4,AM,technologies,UTC+0
881533402,2782,393,213,818,3.43,6,AM,music,UTC-5
305310524,482,440,343,659,2.52,11,PM,political,UTC-5
679574992,869,109,526,1785,4.7,3,AM,political,UTC-5
494408375,5624,197,823,99,3.8,9,AM,sport,UTC+5
608390015,3803,62,797,984,2.8,5,PM,music,UTC+1
618472116,9683,458,986,1178,3.89,6,AM,sport,UTC+8
433232201,131,265,272,1637,3.22,6,AM,traveling,UTC+8
19769544,7971,82,402,707,0.63,10,AM,music,UTC+8
476415736,5851,76,82,911,3.68,3,PM,technologies,UTC+1
212272506,2074,249,907,1040,4.68,1,AM,traveling,UTC+8
504616262,2866,491,447,121,1.0,7,AM,political,UTC-5
872993104,5592,207,153,683,4.69,5,PM,traveling,UTC+0
115407794,5204,462,790,169,2.0,6,AM,traveling,UTC+8
141008103,2678,391,538,21,3.93,2,PM,technologies,UTC+3
59948091,3014,402,584,424,4.61,4,PM,food,UTC+8
439671299,4812,30,468,1632,4.4,6,PM,technologies,UTC+8
149867957,200,108,706,159,4.4,1,PM,music,UTC-5
580928462,9163,371,971,1237,2.33,9,AM,food,UTC+8
720689144,4527,19,882,770,0.06,6,AM,sport,UTC+8
309882906,4419,491,642,635,4.56,11,PM,sport,UTC-5
618422446,9694,343,439,306,3.3,3,AM,political,UTC+5
451413668,7403,418,371,1422,2.44,9,AM,political,UTC+8
609620551,8584,229,634,682,1.65,5,PM,sport,UTC+1
867042975,7590,184,314,1937,0.83,11,PM,traveling,UTC+8
954249719,8923,281,287,1398,2.72,6,PM,technologies,UTC+5
900761816,6171,62,246,562,2.0,1,AM,music,UTC+8
702235152,209,127,896,265,3.13,11,AM,sport,UTC+8
875279614,946,388,259,1306,4.43,2,AM,music,UTC+8
225409179,7114,407,493,1648,1.95,5,PM,food,UTC+8
415627433,7708,344,64,1958,0.43,7,PM,food,UTC+8
344869266,8950,340,293,1969,3.36,6,PM,traveling,UTC+8
415792458,1972,280,53,1001,2.62,4,AM,political,UTC+8
57291141,6117,186,354,1048,1.49,5,PM,political,UTC+8
619112389,7607,433,302,1961,2.59,8,AM,food,UTC+1
492535776,7531,365,671,1734,1.11,11,AM,political,UTC+8
786581300,1596,127,597,1691,1.16,6,AM,technologies,UTC-5
374821514,7626,232,380,769,4.02,1,AM,music,UTC-5
922508883,4781,346,319,169,3.57,9,AM,technologies,UTC+3
265779227,1650,129,605,1108,2.33,3,AM,food,UTC+3
622670491,6243,91,247,836,4.28,3,AM,sport,UTC-5
392909330,8235,416,77,1724,0.97,3,PM,technologies,UTC-5
365505007,6751,393,933,1624,1.9,2,PM,music,UTC+5
19022355,589,203,693,1311,5.0,5,AM,political,UTC-5
235020149,9696,141,536,67,0.24,7,AM,political,UTC+3
103284615,8952,270,271,896,3.22,2,AM,sport,UTC+8
1822387,3325,415,338,941,4.29,6,AM,technologies,UTC+8
145049563,3011,334,541,165,0.37,2,PM,technologies,UTC+8
936057221,1908,340,332,1778,4.63,1,AM,traveling,UTC-5
91509658,9837,256,221,1462,0.53,6,PM,music,UTC+8
39037761,889,53,668,694,2.08,6,AM,traveling,UTC+1
509110467,2257,124,739,1428,2.72,8,AM,traveling,UTC-5
841518971,3890,351,704,148,2.89,2,PM,traveling,UTC+8
974689128,1656,319,56,1494,4.28,1,PM,food,UTC-5
604486581,1684,32,580,830,2.83,1,AM,food,UTC+8
443353490,4636,54,782,725,1.45,1,PM,technologies,UTC+8
263048512,467,64,112,1863,3.49,5,AM,food,UTC+8
295528023,1330,228,17,1962,0.15,9,AM,political,UTC+3
511046806,7299,417,986,1548,1.37,9,PM,political,UTC-8
437490339,5445,281,338,1051,2.54,2,AM,political,UTC+8
319909358,8740,457,55,727,3.94,9,AM,music,UTC+8
259118032,2782,390,334,383,2.56,6,PM,music,UTC-8
947969112,6766,220,779,305,0.21,5,AM,traveling,UTC-5
808623567,6831,425,631,999,0.83,1,AM,music,UTC+3
486359035,1780,321,595,117,3.06,8,AM,sport,UTC+3
276239185,6700,3,822,786,1.6,3,PM,food,UTC+8
723566414,7602,2,335,502,4.72,11,PM,technologies,UTC+1
389090308,3667,339,473,1140,2.44,6,AM,music,UTC+0
708569921,8448,293,649,201,0.28,9,PM,food,UTC-8
964247840,1144,137,699,1435,1.37,1,AM,technologies,UTC+1
602750810,6059,124,452,482,3.92,7,PM,sport,UTC+3
358401354,3482,60,556,160,2.15,5,AM,sport,UTC-5
796025250,3876,174,627,1297,4.51,6,PM,technologies,UTC+0
547319427,9206,268,194,427,4.14,6,AM,music,UTC+8
774513449,6091,212,718,481,3.51,8,PM,music,UTC+8
216160967,6497,275,328,282,2.55,4,PM,technologies,UTC+5
29418977,4858,331,224,424,4.9,7,PM,sport,UTC+1
390359715,402,246,584,1983,2.18,2,PM,music,UTC+8
936556684,7307,378,698,74,0.2,1,AM,political,UTC+1
397351706,7317,448,515,770,0.98,2,AM,political,UTC+5
257929963,9535,488,382,1445,2.68,4,AM,political,UTC+5
874910455,6838,365,771,808,0.06,6,PM,sport,UTC+1
973908642,243,98,385,1673,1.81,4,AM,sport,UTC+8
714124223,6837,226,251,1238,0.12,3,PM,political,UTC+8
349128896,4992,24,133,80,4.64,2,PM,technologies,UTC+8
199644467,198,207,488,132,4.79,1,AM,music,UTC+1
408825486,503,30,500,210,4.33,5,AM,music,UTC+5
802816629,6623,453,651,1674,1.48,1,AM,sport,UTC+5
572970096,1954,169,124,1805,3.47,9,PM,technologies,UTC+0
764692429,2389,123,582,1339,3.61,1,PM,political,UTC+8
709084815,2072,116,465,1327,2.09,6,AM,technologies,UTC+0
235758954,9615,285,905,979,4.54,10,PM,traveling,UTC-8
441912622,2053,320,656,88,2.76,8,AM,technologies,UTC+5
652534297,5762,216,13,241,0.34,1,AM,technologies,UTC+8
946855104,896,261,361,1869,0.07,2,PM,technologies,UTC+5
760212651,6808,475,868,1023,1.91,8,AM,technologies,UTC+8
624255613,4969,182,50,65,4.56,3,AM,traveling,UTC+8
593327598,3200,67,511,460,2.67,2,AM,traveling,UTC-8
199378276,3232,466,183,746,3.28,11,AM,music,UTC+8
155728763,8745,326,314,821,4.36,8,AM,technologies,UTC+8
207628702,1196,156,41,118,1.95,10,PM,political,UTC+8
410380983,3034,29,550,1577,3.72,6,AM,political,UTC+8
458361160,2791,267,928,1400,1.18,5,AM,sport,UTC+3
412235948,8626,290,467,344,3.77,3,AM,food,UTC+3
342712559,2048,43,275,428,4.71,10,AM,music,UTC+0
106877839,4594,415,290,911,3.31,9,AM,traveling,UTC+8
705968264,4933,360,863,1546,1.52,11,PM,sport,UTC+8
670293834,8254,228,220,1420,4.81,2,AM,technologies,UTC+8
695370549,7681,248,268,1183,4.86,10,AM,political,UTC+8
638212478,414,206,114,1269,1.52,2,PM,traveling,UTC+8
816302757,5718,148,431,383,4.4,2,AM,traveling,UTC+8
187832843,1744,85,907,1038,4.49,7,PM,technologies,UTC+5
919158884,7133,401,602,1995,1.11,6,PM,political,UTC+1
199690389,7806,312,490,56,3.1,7,PM,sport,UTC+8
553576408,2891,207,817,875,4.41,5,PM,technologies,UTC+5
746049692,6337,84,18,746,3.21,1,AM,sport,UTC+8
75073404,5910,158,221,1737,0.24,3,AM,sport,UTC+8
394404016,7552,404,733,987,0.83,6,PM,technologies,UTC-5
279373469,6715,262,694,927,1.75,10,PM,political,UTC+5
166735896,5115,267,757,1599,2.67,6,AM,sport,UTC+0
401632685,4211,327,511,435,2.88,4,AM,sport,UTC-5
871293788,4818,173,974,1789,2.24,10,AM,traveling,UTC+8
745238355,9054,25,767,651,0.78,4,PM,sport,UTC+3
442820901,5068,205,121,392,0.4,10,AM,sport,UTC+5
786213061,6034,225,750,458,3.16,1,PM,traveling,UTC+8
881291289,8383,464,960,726,1.56,11,PM,music,UTC+8
663736277,4442,292,736,1913,2.27,5,AM,technologies,UTC+8
498595960,7454,376,71,237,1.69,9,AM,music,UTC+8
399633396,5383,169,163,820,1.97,4,AM,music,UTC+8
696750533,8678,175,613,370,3.04,1,AM,music,UTC+8
512137935,752,369,360,175,0.48,10,PM,food,UTC+8
176950881,4618,362,721,1148,3.98,11,PM,sport,UTC+8
125060758,7832,87,717,28,0.84,2,AM,sport,UTC+5
901069230,3368,401,791,34,2.88,6,PM,traveling,UTC+8
740087946,4702,227,307,493,0.44,8,AM,political,UTC+1
191222764,7618,221,232,704,1.22,8,AM,sport,UTC+8
961397894,3570,131,945,522,4.77,1,AM,political,UTC+8
112466392,7348,244,469,655,2.48,8,AM,music,UTC+8
896690140,6446,160,654,1919,2.19,4,PM,technologies,UTC+3
19896544,6897,159,406,1477,0.37,2,PM,traveling,UTC+8
396027595,6948,355,556,1945,3.6,8,AM,music,UTC+8
976081590,9828,468,450,912,3.2,8,PM,music,UTC+3
426257949,1013,187,462,313,3.66,5,AM,technologies,UTC+8
144983448,3948,10,473,1617,1.84,5,AM,music,UTC+8
678679916,9320,24,334,1737,0.09,8,PM,traveling,UTC-5
640933908,8534,158,84,613,4.37,2,PM,technologies,UTC+3
109473356,9362,365,769,927,0.28,8,PM,political,UTC+8
192788147,7418,245,648,1133,3.93,1,PM,food,UTC+1
421846788,6241,407,148,1730,4.38,5,PM,sport,UTC+5
847167200,8463,105,286,1710,2.16,10,PM,music,UTC+8
403151804,9339,472,905,1274,2.49,2,AM,traveling,UTC+8
918817382,3271,2,698,1896,4.46,8,AM,political,UTC-8
406269909,3978,455,764,986,3.45,8,AM,technologies,UTC+8
362039643,9913,398,758,1345,3.59,7,AM,sport,UTC+3
966846893,2528,367,416,801,3.41,4,AM,sport,UTC+8
211493287,9900,22,598,584,0.91,4,AM,music,UTC+3
440454051,8024,282,464,1009,2.0,8,AM,traveling,UTC+8
973491161,5085,139,125,1998,1.76,2,PM,traveling,UTC+8
992345551,3933,304,151,124,0.47,11,AM,food,UTC+8
462415656,897,334,366,1185,0.56,5,AM,food,UTC+8
719484922,4254,288,599,1699,2.43,4,AM,sport,UTC+8
352413864,3861,187,393,974,1.81,10,AM,food,UTC+8
715174853,9178,402,106,1929,0.64,6,PM,music,UTC+8
427252866,4545,296,47,918,4.44,4,AM,technologies,UTC+8
129799158,7674,424,574,1914,2.52,6,AM,political,UTC+8
372049232,5781,446,11,1687,0.63,7,PM,political,UTC+0
250148015,8412,86,497,198,3.2,2,PM,music,UTC+8
498406492,4109,157,442,1053,0.33,8,AM,political,UTC+8
641929402,3750,41,700,519,2.16,10,AM,political,UTC+8
358354170,6030,235,573,1909,0.01,2,PM,food,UTC+8
700663746,9273,350,459,729,4.88,5,PM,political,UTC+8
536036596,8074,238,301,137,3.59,2,PM,political,UTC-5
197494877,8036,98,653,29,3.27,5,AM,sport,UTC+8
595416741,6482,162,878,557,4.92,3,AM,traveling,UTC+8
420972624,4556,476,443,1316,3.24,2,PM,food,UTC+1
641458845,3031,199,271,301,2.09,5,PM,sport,UTC+8
182797528,5009,177,450,654,2.76,11,AM,technologies,UTC+3
708349324,5751,394,448,722,2.85,5,PM,food,UTC+8
375483423,4356,18,122,25,0.4,5,AM,food,UTC-5
283542833,7202,406,971,820,1.06,11,PM,traveling,UTC+8
253522971,7820,39,800,641,3.42,2,PM,technologies,UTC+8
33405495,5735,21,317,1147,2.19,5,PM,technologies,UTC-5
406782643,1416,355,518,1799,4.65,6,AM,traveling,UTC-5
561182256,4671,50,266,414,4.86,2,AM,political,UTC+3
838843315,6302,258,899,257,2.82,11,AM,sport,UTC-8
775448093,3346,240,394,1542,3.95,8,PM,music,UTC+8
70590399,3857,356,426,1023,1.1,11,AM,music,UTC+8
190762838,8170,210,159,1461,4.99,11,AM,music,UTC+8
231012316,8043,356,800,1004,0.48,6,AM,traveling,UTC+3
778873635,9837,404,793,1196,2.41,7,AM,sport,UTC+8
750156674,609,449,417,196,3.26,1,AM,political,UTC+1
437252803,5579,124,734,618,2.5,1,PM,food,UTC+5
779481567,8963,91,31,490,3.81,4,AM,sport,UTC+8
939950515,9086,268,817,103,1.42,9,AM,political,UTC+1
290889374,475,182,754,508,2.68,8,AM,technologies,UTC+8
143400033,1108,107,44,1452,1.81,9,PM,music,UTC+1
544469782,7037,208,565,1434,3.07,8,PM,food,UTC+3
820440303,3927,498,993,357,4.8,5,AM,sport,UTC-8
776778268,2391,235,396,1977,1.16,9,PM,technologies,UTC+5
160708768,8860,231,267,1777,1.72,9,PM,music,UTC+8
964868976,9085,478,117,1867,3.04,11,AM,political,UTC+3
937510712,6446,150,550,988,3.4,5,AM,food,UTC+8
42361487,6912,23,171,1410,1.04,11,AM,sport,UTC+8
650558428,7623,320,496,244,3.77,8,PM,music,UTC+1
240107308,3448,326,777,407,3.65,2,PM,sport,UTC+3
297876471,5751,406,109,656,1.89,1,PM,music,UTC+1
519085539,385,263,629,1456,0.03,4,AM,music,UTC+5
437505561,9781,317,22,1812,0.61,1,AM,traveling,UTC+3
