PostsCount,LikesPerPost,MessagesSent,PhotosPerDay,Topic
207,488,132,4.79,1
30,500,210,4.33,1
453,651,1674,1.48,3
169,124,1805,3.47,2
123,582,1339,3.61,0
116,465,1327,2.09,2
285,905,979,4.54,4
320,656,88,2.76,2
216,13,241,0.34,2
261,361,1869,0.07,2
475,868,1023,1.91,2
182,50,65,4.56,4
67,511,460,2.67,4
466,183,746,3.28,1
326,314,821,4.36,2
156,41,118,1.95,0
29,550,1577,3.72,0
267,928,1400,1.18,3
290,467,344,3.77,5
43,275,428,4.71,1
415,290,911,3.31,4
360,863,1546,1.52,3
228,220,1420,4.81,2
248,268,1183,4.86,0
206,114,1269,1.52,4
148,431,383,4.4,4
85,907,1038,4.49,2
401,602,1995,1.11,0
312,490,56,3.1,3
207,817,875,4.41,2
84,18,746,3.21,3
158,221,1737,0.24,3
404,733,987,0.83,2
262,694,927,1.75,0
267,757,1599,2.67,3
327,511,435,2.88,3
173,974,1789,2.24,4
25,767,651,0.78,3
205,121,392,0.4,3
225,750,458,3.16,4
464,960,726,1.56,1
292,736,1913,2.27,2
376,71,237,1.69,1
169,163,820,1.97,1
175,613,370,3.04,1
369,360,175,0.48,5
362,721,1148,3.98,3
87,717,28,0.84,3
401,791,34,2.88,4
227,307,493,0.44,0
221,232,704,1.22,3
131,945,522,4.77,0
244,469,655,2.48,1
160,654,1919,2.19,2
159,406,1477,0.37,4
355,556,1945,3.6,1
468,450,912,3.2,1
187,462,313,3.66,2
10,473,1617,1.84,1
24,334,1737,0.09,4
158,84,613,4.37,2
365,769,927,0.28,0
245,648,1133,3.93,5
407,148,1730,4.38,3
105,286,1710,2.16,1
472,905,1274,2.49,4
2,698,1896,4.46,0
455,764,986,3.45,2
398,758,1345,3.59,3
367,416,801,3.41,3
22,598,584,0.91,1
282,464,1009,2.0,4
139,125,1998,1.76,4
304,151,124,0.47,5
334,366,1185,0.56,5
288,599,1699,2.43,3
187,393,974,1.81,5
402,106,1929,0.64,1
296,47,918,4.44,2
424,574,1914,2.52,0
446,11,1687,0.63,0
86,497,198,3.2,1
157,442,1053,0.33,0
41,700,519,2.16,0
235,573,1909,0.01,5
350,459,729,4.88,0
238,301,137,3.59,0
98,653,29,3.27,3
162,878,557,4.92,4
476,443,1316,3.24,5
199,271,301,2.09,3
177,450,654,2.76,2
394,448,722,2.85,5
18,122,25,0.4,5
406,971,820,1.06,4
39,800,641,3.42,2
21,317,1147,2.19,2
355,518,1799,4.65,4
50,266,414,4.86,0
258,899,257,2.82,3
240,394,1542,3.95,1
356,426,1023,1.1,1
210,159,1461,4.99,1
356,800,1004,0.48,4
404,793,1196,2.41,3
449,417,196,3.26,0
124,734,618,2.5,5
91,31,490,3.81,3
268,817,103,1.42,0
182,754,508,2.68,2
107,44,1452,1.81,1
208,565,1434,3.07,5
498,993,357,4.8,3
235,396,1977,1.16,2
231,267,1777,1.72,1
478,117,1867,3.04,0
150,550,988,3.4,5
23,171,1410,1.04,3
320,496,244,3.77,1
326,777,407,3.65,3
406,109,656,1.89,1
263,629,1456,0.03,1
317,22,1812,0.61,4
366,912,1312,4.46,4
140,473,931,3.88,4
316,50,1799,3.0,4
454,368,1883,1.62,4
450,44,1249,3.49,2
224,93,364,4.39,0
391,349,684,3.76,1
66,492,326,4.03,3
181,956,260,0.63,1
192,383,1018,1.62,2
114,268,72,0.96,0
449,642,934,1.08,3
202,689,1985,1.99,1
476,779,345,4.93,2
220,502,1522,1.46,2
491,918,725,3.22,5
253,119,326,4.0,4
301,187,1990,1.79,0
204,549,135,0.47,5
401,696,912,3.6,5
303,658,458,4.2,2
326,305,758,2.09,2
389,479,183,2.4,1
483,35,1183,3.56,5
245,906,1110,3.09,1
297,791,918,1.47,2
119,286,323,1.55,5
3,325,234,2.74,2
210,931,1019,4.72,5
455,150,68,2.05,5
55,758,333,0.58,2
222,912,51,2.25,4
52,653,1221,1.89,2
11,450,35,3.33,5
436,733,1572,3.99,3
185,683,1945,3.92,2
82,498,1542,3.58,5
266,261,1757,3.93,4
164,981,312,2.94,4
228,901,1618,3.32,3
489,50,640,1.15,4
111,896,1401,1.83,2
423,650,390,2.57,3
227,906,535,2.83,2
31,435,232,0.74,0
321,209,630,2.35,2
71,561,1110,0.68,3
379,290,1345,3.11,3
40,52,777,2.92,3
267,465,1688,1.35,1
362,153,367,1.04,5
300,284,993,0.21,3
393,682,854,0.03,3
137,72,1545,0.25,2
217,799,966,0.96,0
371,401,574,1.76,1
151,569,1075,3.46,4
330,45,1316,3.27,3
411,585,718,0.88,1
450,220,1075,3.87,5
91,485,1018,3.77,2
348,977,1217,4.14,2
254,748,1159,4.26,3
12,552,1231,2.51,0
384,419,152,4.96,1
182,93,944,1.03,2
228,157,538,2.23,3
112,824,762,0.99,4
88,822,640,1.29,5
259,150,1761,3.93,2
162,37,563,0.24,5
296,152,1469,4.27,2
416,63,1088,0.47,5
48,302,1846,3.55,1
369,55,171,1.64,3
232,874,876,0.48,4
349,818,1451,2.3,2
456,19,1271,3.98,0
202,301,632,0.82,1
373,663,269,2.49,3
103,998,1290,4.04,5
479,698,1552,0.66,1
15,219,957,4.23,4
177,728,1951,2.9,0
243,399,1731,3.55,2
389,558,181,2.96,3
264,593,1145,3.62,1
64,124,1845,1.59,4
278,38,1938,3.89,3
324,767,1043,3.99,1
40,769,1812,3.02,2
403,732,887,1.29,1
323,678,611,2.54,4
84,644,1462,2.82,2
234,973,1321,1.85,3
146,925,549,3.7,5
221,329,131,2.34,4
250,256,1086,2.46,2
443,686,1056,0.57,3
274,983,80,3.07,2
483,917,1373,3.57,3
436,912,1302,0.62,1
464,945,878,2.88,3
387,830,1509,2.99,3
495,587,880,4.19,4
308,981,1140,4.19,5
302,267,1702,4.9,3
383,945,619,3.35,0
294,874,1680,4.44,3
134,622,1321,0.79,0
458,182,1473,0.75,1
452,311,587,3.87,4
491,806,825,4.82,0
419,387,67,0.88,5
196,612,640,4.78,2
276,376,338,2.54,3
427,852,1950,1.04,3
141,317,70,3.52,5
458,49,365,4.16,0
405,644,1949,3.99,5
178,226,1495,3.76,2
446,119,10,1.35,3
362,511,1500,1.2,1
160,278,449,1.76,4
74,616,1457,4.92,4
397,408,960,0.09,2
14,312,811,4.91,4
182,164,1003,3.95,3
5,282,707,1.27,2
431,77,1175,4.25,1
156,542,68,1.26,2
201,236,1306,3.84,1
236,397,773,1.16,0
336,295,877,4.1,1
276,109,1190,3.87,5
482,658,400,0.36,4
377,417,1903,3.7,3
356,989,1293,3.29,4
434,392,384,2.93,0
97,976,1092,1.21,5
226,316,1195,3.78,1
322,494,1876,3.55,4
132,707,834,1.27,5
196,23,203,1.64,5
105,436,382,0.61,3
334,274,1598,4.87,5
119,764,1139,2.64,5
292,798,488,3.0,5
272,972,1704,1.45,2
91,402,966,4.74,4
25,662,1545,1.34,4
446,912,1457,1.73,3
462,537,1569,2.8,3
361,188,274,0.12,3
328,553,74,1.64,4
104,4,1080,3.85,3
84,875,342,3.3,2
92,96,333,4.3,1
342,869,1364,1.03,3
287,736,163,2.9,4
23,119,648,0.61,5
486,183,380,1.51,1
342,56,452,2.66,1
161,859,284,2.01,3
385,138,227,1.07,3
186,208,1313,0.45,2
228,153,580,0.48,5
236,178,1285,2.31,1
67,562,714,1.53,1
357,35,1886,4.54,4
181,358,1840,3.51,1
129,56,732,2.48,4
281,274,1784,2.21,5
105,351,81,3.13,5
85,917,714,2.18,5
73,346,278,0.52,5
249,524,1417,2.98,0
428,818,350,1.78,0
389,764,508,4.26,5
62,647,1238,0.49,4
328,961,1461,2.35,5
154,29,716,3.7,4
3,887,108,1.28,1
355,853,915,2.49,0
405,745,305,1.51,0
416,13,1896,0.74,4
249,130,862,1.04,1
239,406,1977,3.09,5
446,487,196,4.83,1
277,277,984,2.09,4
484,494,605,4.54,2
242,835,1808,0.56,1
71,871,451,2.58,2
475,956,1473,3.37,3
401,879,692,4.35,2
41,708,1061,3.45,2
201,937,1865,0.54,4
351,192,597,0.34,4
134,173,1777,1.72,2
434,959,1032,4.32,1
136,489,1803,3.77,4
271,7,485,4.88,2
424,505,1399,4.5,2
383,596,832,1.53,0
90,615,307,3.34,1
300,895,94,1.41,3
12,1,672,3.68,0
476,583,1482,0.92,5
338,596,1982,1.42,5
452,763,1967,0.91,2
24,270,1438,2.27,2
141,211,1517,0.83,5
236,39,791,1.9,0
72,110,1582,0.12,0
428,537,854,4.94,0
124,931,1473,3.86,4
35,11,198,3.68,4
208,10,478,1.99,3
173,55,705,1.01,3
396,432,817,4.12,4
403,219,1287,4.46,2
398,879,132,3.52,0
168,389,219,1.69,0
61,915,947,4.55,1
249,949,1268,4.08,4
308,953,1141,2.35,5
152,412,841,0.3,3
412,332,208,1.81,3
10,940,1495,0.68,1
172,323,1047,2.89,0
297,298,1930,2.64,4
145,490,1452,1.3,2
467,191,1101,2.42,3
67,213,1882,1.48,1
465,843,334,4.48,5
214,757,23,3.85,1
38,874,628,0.67,5
218,258,1566,2.6,1
144,859,1760,0.89,2
210,596,1269,3.37,3
129,283,1736,1.5,3
76,909,1679,2.01,5
211,826,381,3.08,2
167,998,431,1.25,3
214,655,1945,5.0,2
353,727,882,1.31,2
495,56,1836,0.13,4
219,733,430,2.88,5
311,198,1704,4.73,5
251,194,467,2.03,3
292,93,1858,0.9,4
157,604,1809,3.79,1
474,671,115,2.96,5
234,526,572,2.48,2
441,874,332,4.6,4
47,35,726,2.01,0
260,159,351,1.21,4
44,577,308,1.72,1
300,663,312,2.39,1
245,232,147,2.79,2
178,100,930,0.17,3
228,85,420,2.49,5
147,301,1612,3.62,3
30,647,1494,4.37,0
232,822,773,4.96,1
19,692,1266,1.34,0
429,250,1949,4.42,0
474,140,1071,1.18,5
494,165,540,3.85,5
431,50,574,2.18,5
195,54,931,0.18,0
434,98,1674,2.93,4
52,580,199,4.77,2
113,251,1878,0.48,4
370,721,1006,0.82,4
355,498,1453,4.02,0
444,497,611,4.75,5
239,995,775,0.91,0
387,198,1531,0.52,2
150,740,648,1.55,0
69,353,1317,0.81,3
149,409,653,1.62,1
312,68,420,2.79,2
32,785,4,3.83,5
486,543,420,4.54,3
481,737,1075,2.55,0
305,244,272,4.59,1
127,170,616,1.15,3
211,104,1219,4.11,2
261,792,323,3.8,0
150,483,1729,1.88,5
296,86,58,2.33,4
380,64,536,0.27,3
389,811,254,1.94,1
16,141,1301,2.18,3
448,788,1883,2.71,2
271,985,1659,0.32,1
402,882,1503,3.43,1
226,502,317,3.92,1
359,645,434,3.43,4
418,634,131,1.34,5
21,920,273,0.74,0
417,332,805,1.37,1
446,767,876,2.81,1
423,845,571,0.05,1
339,307,178,1.82,1
413,767,671,2.41,3
494,587,1502,0.53,1
202,407,454,0.04,4
397,829,236,3.15,5
113,484,358,4.75,5
188,165,125,4.52,1
297,544,365,4.12,1
182,233,369,1.13,4
294,222,1168,3.95,2
271,291,1050,0.18,3
226,987,787,1.9,0
495,449,740,1.0,1
291,751,539,3.99,4
121,973,1191,4.64,1
94,278,46,1.15,0
257,68,1853,3.68,1
248,373,1481,0.46,3
90,230,1319,4.9,5
124,189,1714,3.18,2
32,434,1073,4.74,0
425,953,200,1.27,0
156,13,806,0.86,5
186,476,423,4.33,0
449,797,1942,2.39,4
359,345,932,1.65,2
156,309,882,1.4,5
51,407,956,1.74,0
369,923,700,1.34,0
443,980,1638,3.28,2
331,762,1233,1.51,0
58,699,999,3.02,3
341,893,876,1.52,5
268,508,1971,1.81,5
451,163,864,1.17,5
118,443,58,4.94,2
387,609,1557,3.23,1
110,809,1440,3.33,4
293,409,1291,3.32,1
466,208,1461,0.45,5
253,695,485,3.12,3
187,806,285,0.98,3
270,222,1851,3.59,1
343,750,1358,1.68,5
492,426,876,0.16,0
178,4,357,0.12,5
37,506,359,1.29,4
427,722,245,1.89,3
367,327,1847,0.03,5
195,460,1489,2.91,5
34,26,964,0.6,2
3,516,709,2.29,3
95,754,1335,2.56,0
115,483,486,2.1,4
308,112,1900,4.36,0
90,972,432,0.38,4
438,935,549,2.91,3
114,213,1949,1.3,5
144,30,1946,1.62,2
333,560,524,2.34,3
129,736,473,2.13,0
472,113,411,1.09,3
188,246,960,2.03,0
98,998,147,2.68,5
124,336,1403,1.61,4
368,866,377,1.65,3
469,721,1494,4.26,5
326,77,1096,3.31,0
232,642,716,0.06,5
168,642,1414,4.71,3
304,671,1417,3.6,4
231,332,759,0.7,4
47,234,1848,2.29,5
271,675,844,4.11,1
63,305,1293,1.23,1
115,146,1123,3.15,3
467,181,1774,3.88,2
483,262,587,3.81,2
252,223,1363,1.78,5
498,532,93,2.68,3
194,668,569,4.55,3
179,109,1873,1.07,4
322,539,1958,1.12,1
128,324,1598,4.33,1
473,37,959,0.32,4
456,51,720,3.28,1
35,413,306,0.77,2
241,283,1739,3.29,0
411,195,503,0.96,0
271,87,964,4.73,0
396,798,1943,2.92,4
284,277,439,0.43,0
318,387,317,0.36,3
76,696,371,1.06,1
419,24,986,0.25,0
447,22,146,4.24,0
213,765,775,2.45,4
19,99,621,4.9,3
41,561,1164,0.31,0
89,635,981,0.48,2
107,586,1493,2.03,0
109,59,179,1.99,4
18,790,810,2.13,0
314,783,1155,0.5,1
52,384,1107,2.81,5
277,993,357,3.0,2
199,726,1007,3.6,0
155,691,130,1.42,4
261,749,394,1.18,3
84,342,557,4.92,0
458,482,1478,4.99,3
56,658,1182,4.29,3
127,101,424,2.17,1
290,527,681,0.15,2
440,252,310,1.33,5
101,764,73,1.12,3
390,549,1941,0.15,0
78,753,124,1.4,0
11,840,672,3.03,1
236,848,540,0.27,3
45,670,1209,3.31,5
442,703,1124,2.29,3
80,107,1445,3.47,3
372,685,1386,2.19,4
383,236,1132,2.7,2
428,488,1235,4.89,1
336,723,1275,1.08,0
469,353,1879,2.4,5
364,96,1417,2.08,4
170,715,211,0.62,0
130,767,532,3.6,2
311,617,1604,2.38,0
438,145,680,3.83,1
22,389,1978,3.8,0
169,388,1295,2.97,5
212,39,1750,0.82,1
154,377,864,0.07,3
286,592,507,0.04,1
270,449,678,3.25,4
424,684,701,3.8,5
252,629,677,4.51,0
117,953,644,4.86,1
402,125,1480,4.87,2
447,149,1927,1.53,4
286,355,1117,4.8,1
194,479,451,1.74,2
112,253,657,1.23,5
127,449,110,4.83,5
74,455,1904,1.37,0
314,456,434,1.63,3
141,382,544,0.79,0
172,687,1206,4.46,1
82,89,1853,0.55,1
65,280,1753,2.24,0
76,11,854,1.43,4
93,516,15,1.86,0
77,380,1447,0.7,4
119,505,1662,0.28,1
116,689,1724,3.97,0
433,342,960,4.19,2
39,805,935,2.3,0
453,209,938,3.0,5
287,276,1306,3.58,1
323,474,1733,0.96,2
279,49,458,2.3,5
232,909,1338,1.35,3
213,870,1118,4.5,4
453,948,1678,4.32,5
147,148,1029,2.58,1
302,599,967,2.33,1
60,502,1415,0.61,5
235,959,1314,3.47,1
380,567,1716,4.23,0
308,274,1432,4.92,2
174,268,1235,1.68,4
468,808,1384,4.65,2
355,14,830,4.27,4
306,541,1420,1.17,4
445,273,1085,2.42,3
43,92,1935,0.92,1
52,512,334,2.22,5
324,308,1673,4.34,3
327,887,1397,2.09,4
383,522,470,3.43,1
56,558,1516,1.3,1
401,784,205,3.53,5
60,613,1615,1.46,4
179,173,1770,0.88,5
426,440,1909,3.38,2
487,422,625,2.07,5
96,196,514,2.49,3
213,965,1585,4.67,1
292,372,1697,0.96,4
186,423,481,2.9,2
208,626,1980,3.78,3
201,444,852,0.85,3
96,570,1942,1.18,0
433,889,1556,3.52,5
146,320,1731,3.29,4
183,628,130,4.55,0
28,956,707,3.82,4
280,390,924,3.32,3
264,890,1231,2.23,1
58,353,1500,3.08,4
183,621,20,0.12,5
38,18,242,4.93,0
20,628,291,2.49,3
410,263,869,2.42,4
437,609,1391,1.55,1
386,592,859,3.16,0
4,494,948,1.26,1
283,739,1115,0.85,0
460,479,272,4.65,4
104,617,846,3.54,3
97,659,852,1.17,4
252,215,700,3.48,5
162,12,1205,3.58,3
242,319,1821,2.41,0
293,331,128,2.71,4
410,366,97,4.58,1
482,647,1294,4.59,0
115,183,43,3.27,1
60,204,1675,2.06,0
485,137,507,4.1,0
403,762,707,1.98,4
367,900,263,1.15,0
88,207,1400,1.17,1
57,967,1338,2.37,1
480,744,1048,3.03,5
42,934,70,2.38,2
336,395,337,0.94,2
377,247,978,0.64,0
452,492,786,3.76,0
406,59,633,4.94,1
373,404,1960,4.28,3
122,530,18,1.73,5
115,571,132,1.53,0
333,15,1663,3.71,0
73,34,972,3.14,1
21,420,1810,1.35,5
320,415,1366,4.88,2
275,979,1678,2.93,1
157,759,829,3.88,4
446,776,1993,2.0,5
453,213,1585,4.52,1
243,37,1974,0.43,4
95,688,1601,2.04,0
72,967,1067,3.61,1
360,316,1962,3.06,4
388,651,1887,0.09,4
462,154,983,0.67,0
237,179,1430,0.34,1
317,826,973,1.85,2
32,443,880,4.12,1
200,188,1525,4.5,3
106,619,45,3.11,1
5,62,1161,2.64,1
300,879,1985,0.73,1
161,949,1905,3.49,5
494,326,610,4.44,2
164,0,1019,3.21,5
427,24,491,2.57,0
435,422,41,3.01,1
375,709,244,3.31,0
168,747,1115,0.86,2
303,654,1378,2.36,0
204,423,367,3.9,5
253,178,618,4.97,4
484,226,806,3.58,4
490,768,1603,4.28,2
266,943,1934,3.06,0
110,869,1476,2.09,2
349,326,419,3.21,1
281,297,1203,1.04,2
47,786,402,1.97,2
404,128,1475,0.17,5
20,789,1772,3.24,2
391,352,1696,4.66,4
146,900,270,1.26,1
185,549,1721,1.48,4
310,708,828,2.4,4
317,679,1659,1.85,1
240,390,989,0.97,2
153,95,271,1.36,5
303,294,936,4.99,2
28,967,1747,0.73,1
448,316,266,0.37,4
57,686,1329,3.58,4
94,880,514,4.57,0
414,148,505,0.34,3
43,213,1581,0.5,4
101,270,1142,2.99,0
300,895,1177,0.37,3
239,692,882,2.65,2
276,664,1099,3.77,0
315,255,324,4.72,1
323,584,1889,4.99,2
352,705,1621,3.52,4
156,196,1050,4.19,4
376,628,275,1.04,4
366,659,206,4.01,2
252,989,1706,0.51,4
145,993,657,1.4,3
387,364,49,4.77,5
207,675,1498,2.24,4
451,932,219,0.76,2
164,725,1425,1.16,5
449,115,264,2.32,5
405,744,954,1.06,2
267,399,1488,0.36,1
380,671,1362,1.37,5
24,601,1214,0.59,0
394,861,191,4.23,1
79,694,1363,2.24,1
406,708,1736,2.28,3
210,396,163,0.89,0
423,531,1531,4.43,2
424,396,995,2.6,1
397,612,1007,2.43,5
459,594,1590,1.15,1
158,338,1967,4.23,2
167,624,1644,3.21,0
354,107,1307,0.65,5
40,57,620,2.3,1
415,311,907,3.42,3
486,761,1474,0.18,3
13,60,1118,3.16,5
274,652,1631,1.29,0
86,620,113,1.55,3
241,476,1251,0.05,0
116,392,1165,0.55,0
26,839,1073,0.26,4
48,32,1130,3.03,4
9,76,448,4.98,4
412,898,881,1.09,3
431,603,1454,1.64,1
82,264,1389,1.47,0
366,867,842,4.67,1
212,319,746,4.95,0
74,798,1607,2.42,5
68,980,559,3.65,4
49,197,970,0.27,2
214,910,1161,3.62,1
249,25,685,2.29,5
404,455,1059,2.38,3
84,722,1426,3.09,3
382,183,1941,1.25,0
131,256,1599,2.49,1
325,497,761,2.47,3
77,424,752,2.18,2
420,908,1157,0.76,0
115,715,394,0.59,3
86,31,1050,4.13,3
126,149,1723,4.82,5
389,204,1739,4.52,1
100,569,1917,3.23,2
321,177,1901,1.26,1
159,528,714,3.22,1
224,680,1894,2.37,3
194,470,738,1.19,4
263,573,120,0.29,4
462,489,1001,1.41,0
320,1,1676,2.95,5
392,419,126,0.82,3
347,882,1810,1.6,0
245,110,1659,1.29,4
413,544,758,2.65,2
